transit_id,pl_period,pl_transit_duration,pl_transit_depth,pl_radius,pl_eq_temp,pl_insolation_flux,st_eff_temp,st_radius,st_logg
K00754.01,1.736952453,2.40641,8079.2,33.46,1395.0,891.96,5805.0,0.791,4.564
K00010.01,3.522498429,3.19843,9145.7,14.59,1521.0,1264.67,6225.0,1.451,4.169
K00744.01,19.221388942,4.79843,74284.0,49.29,698.0,55.97,6117.0,0.947,4.496
K00745.01,16.46983774,9.4378,10478.9,7.94,595.0,29.61,5152.0,0.786,4.517
K00748.01,2.696370652,3.6129,397.9,1.58,1066.0,305.34,4989.0,0.819,4.504
K00770.01,1.50635409,1.5155,2211.7,4.53,1452.0,1054.12,5714.0,0.831,4.563
K00761.01,2.701287801,3.3827,860.4,6.54,1222.0,527.81,5550.0,0.91,4.468
K00763.01,19.651209505,5.2514,11766.3,12.42,730.0,67.03,6074.0,1.063,4.391
K00777.01,40.4195037,3.362,6256.0,7.51,467.0,11.29,5446.0,0.781,4.507
K00785.01,12.3935651,3.8896,916.6,2.66,677.0,49.68,5557.0,0.75,4.603
K00814.01,22.36646466,5.228,986.8,2.32,536.0,19.45,5395.0,0.734,4.615
K00802.01,19.620346923,2.0038,21724.6,13.6,643.0,40.39,5710.0,0.905,4.492
K00808.01,2.99025443,5.414,589.2,1.7,918.0,168.45,4667.0,0.731,4.578
K00811.01,20.50588921,4.0595,2105.5,3.41,518.0,17.06,4905.0,0.761,4.544
K00117.02,4.90144976,4.1654,140.7,1.7,1262.0,598.74,5847.0,1.402,4.191
K00815.01,34.84398644,2.9315,4523.6,7.61,511.0,16.1,5509.0,0.871,4.482
K00816.01,7.748094239,3.5957,2472.1,5.52,964.0,204.39,5973.0,1.085,4.439
K00820.01,4.64090031,35.512,2450.6,30.09,1155.0,421.08,6463.0,0.826,4.5
K00011.01,3.747838198,5.0642,616.0,13.65,1031.0,266.76,5514.0,0.826,4.569
K00117.01,14.74914825,6.0995,430.2,2.89,874.0,137.91,5847.0,1.402,4.191
K00117.04,7.95825328,4.377,50.0,1.06,1074.0,314.15,5847.0,1.402,4.191
K00117.03,3.180027898,3.5797,120.3,1.53,1458.0,1066.86,5847.0,1.402,4.191
K00847.01,80.8723469,11.195,3604.6,7.59,452.0,9.88,5510.0,1.238,4.222
K00867.01,16.08518937,3.984,1442.4,3.68,613.0,33.43,5239.0,0.826,4.523
K00855.01,41.408316686,5.0264,22838.9,11.38,453.0,9.93,5522.0,0.747,4.586
K00864.01,4.311780262,2.7251,1154.0,3.11,1038.0,274.84,5527.0,0.927,4.484
K00864.02,20.0504494,4.556,840.9,2.69,622.0,35.44,5527.0,0.927,4.484
K00864.03,9.76734503,1.6585,569.1,2.67,791.0,92.46,5527.0,0.927,4.484
K00876.01,6.998099523,2.0488,20285.0,588.66,853.0,125.22,5612.0,0.829,4.566
K00893.01,4.40841331,5.012,549.4,2.66,1139.0,398.0,6007.0,0.961,4.457
K00883.01,2.688899233,2.11275,37491.6,12.04,929.0,175.76,4820.0,0.639,4.667
K00888.01,1.000747038,0.9967,1823.5,4.14,1620.0,1635.2,5472.0,0.79,4.499
K00124.01,12.69104387,3.7727,252.1,2.57,1008.0,244.3,5869.0,1.626,4.024
K00899.01,7.11373257,2.1764,807.6,1.16,429.0,8.01,3561.0,0.411,4.855
K00899.02,3.306551643,1.8177,509.2,0.91,554.0,22.19,3561.0,0.411,4.855
K00899.03,15.36845737,2.4714,756.1,1.11,332.0,2.86,3561.0,0.411,4.855
K00124.02,31.71981013,4.819,363.4,3.09,743.0,71.97,5869.0,1.626,4.024
K00918.01,39.6431552,6.5292,15663.8,10.98,472.0,11.74,5231.0,0.9,4.455
K00126.01,33.80364366,11.4813,13494.4,20.7,745.0,72.71,5855.0,1.796,3.999
K00939.01,3.388012244,2.6849,280.1,2.11,1315.0,705.93,5553.0,1.25,4.221
K00939.02,5.83909761,3.1915,273.6,2.06,1097.0,341.48,5553.0,1.25,4.221
K00939.03,1.620467654,2.1888,159.6,1.57,1681.0,1893.42,5553.0,1.25,4.221
K00939.04,10.6816951,3.605,307.8,2.3,897.0,152.75,5553.0,1.25,4.221
K00938.01,9.94602357,3.3862,994.5,3.12,807.0,100.34,5344.0,1.013,4.365
K00938.02,1.04562195,1.8955,213.0,1.45,1710.0,2031.84,5344.0,1.013,4.365
K00938.03,5.71462396,2.336,297.8,1.78,971.0,210.16,5344.0,1.013,4.365
K00968.01,4.6484156,38.1939,128.4,5.06,2259.0,6152.88,6980.0,3.482,3.577
K00014.01,2.947376671,2.0911,433.2,403.59,2404.0,7903.84,8090.0,2.234,4.002
K01049.01,0.525426427,1.0801,324.6,1.45,2069.0,4349.62,5791.0,0.802,4.575
K01050.01,1.269091415,1.4647,340.9,1.41,1331.0,740.47,5041.0,0.766,4.576
K01050.02,2.853133997,1.465,277.1,1.36,1016.0,251.77,5041.0,0.766,4.576
K01177.01,3.305577989,2.5903,17971.0,25.89,1027.0,263.55,5534.0,0.707,4.629
K01180.01,34.82008158,11.1711,18847.8,11.36,459.0,10.49,5114.0,0.784,4.522
K00983.01,7.1548608,7.694,780.4,7.41,1482.0,1141.57,7443.0,1.739,4.166
K01054.01,3.3226948,3.568,78.7,15.33,3859.0,52428.3,5234.0,16.959,2.41
K01116.01,3.749105745,1.9826,182.6,1.68,1160.0,428.25,5751.0,0.983,4.447
K00988.01,10.38122447,2.715,801.5,2.18,672.0,48.37,5095.0,0.78,4.566
K00988.02,24.5709023,3.587,764.2,2.82,505.0,15.33,5095.0,0.78,4.566
K01058.01,5.670155713,0.9361,536.7,5.85,341.0,3.21,3337.0,0.183,5.126
K01059.01,1.022678654,1.3712,129.2,1.14,1734.0,2138.47,5366.0,1.02,4.363
K01200.01,0.393726813,2.95,564.6,24.17,2705.0,12661.53,6277.0,1.031,4.449
K01203.01,31.8841473,6.122,910.0,3.7,563.0,23.82,5779.0,0.974,4.477
K00991.01,12.06222962,2.0584,300.2,1.62,750.0,74.8,5547.0,0.933,4.451
K01125.01,7.814839231,3.0122,2010.3,5.33,903.0,156.74,5887.0,0.931,4.499
K01192.01,1295.362215,28.297,8708.0,57.82,169.0,0.19,5609.0,1.048,4.346
K01067.01,185.02288222,4.87326,43546.7,49.82,379.0,4.89,6025.0,1.367,4.237
K01129.01,4.89721006,1.812,274.4,1.48,904.0,157.93,5093.0,0.847,4.483
K01196.01,3.98216698,2.396,381.3,3.32,1374.0,842.48,5570.0,1.548,4.066
K00998.01,161.78832712,5.31,87750.0,36.14,375.0,4.68,6018.0,1.212,4.327
K01070.01,6.61836309,3.6813,549.1,2.98,1066.0,304.65,5529.0,1.294,4.19
