transit_id,pl_period,pl_transit_duration,pl_radius,st_eff_temp,st_radius,ra,dec,source,isPlanet
K00114.01,7.36178958,5.022,39.21,6227.0,1.958,298.86435,42.151569,Kepler,0
K00757.01,16.06864674,3.5347,5.76,5031.0,0.848,286.99948,48.37579,Kepler,1
K00010.01,3.522498429,3.19843,14.59,6225.0,1.451,281.28812,42.45108,Kepler,1
K00113.01,386.6030528,6.8057,41.5,5543.0,1.58,292.27374,37.671558,Kepler,0
K00757.02,41.19725502,4.6297,3.86,5031.0,0.848,286.99948,48.37579,Kepler,1
K00757.03,6.252962249,2.5819,2.65,5031.0,0.848,286.99948,48.37579,Kepler,1
K00759.01,32.62876672,4.7971,3.36,5586.0,0.798,285.71854,48.505859,Kepler,1
K00759.02,91.7732862,6.473,2.12,5586.0,0.798,285.71854,48.505859,Kepler,1
K00768.01,33.93373447,14.561,7.34,5040.0,0.705,284.17233,49.360722,Kepler,0
K00116.01,13.57078281,3.3539,2.64,5854.0,1.012,300.86398,44.337551,Kepler,1
K00116.02,43.84439721,6.802,2.87,5854.0,1.012,300.86398,44.337551,Kepler,1
K00789.01,14.1798187,2.505,1.88,5799.0,0.878,291.0448,51.321671,Kepler,0
K00790.01,8.47237911,2.7245,2.59,5354.0,0.788,296.36652,51.319519,Kepler,1
K00790.02,60.4189369,5.039,2.36,5354.0,0.788,296.36652,51.319519,Kepler,1
K00796.01,0.444291966,2.0792,27.51,5255.0,0.636,290.99689,38.28492,Kepler,0
K00116.04,23.9800854,5.351,1.31,5854.0,1.012,300.86398,44.337551,Kepler,1
K00116.03,6.164876,3.262,0.79,5854.0,1.012,300.86398,44.337551,Kepler,1
K00810.01,4.783002698,2.335,2.5,5170.0,0.807,287.09399,39.060719,Kepler,1
K00117.02,4.90144976,4.1654,1.7,5847.0,1.402,297.02826,48.208611,Kepler,1
K00830.01,3.525632539,2.59959,11.58,5150.0,0.793,290.58173,40.5774,Kepler,1
K00817.01,23.96793669,3.827,1.8,3747.0,0.524,283.86639,39.898079,Kepler,1
K00817.02,8.29561738,1.3421,1.82,3747.0,0.524,283.86639,39.898079,Kepler,1
K00117.01,14.74914825,6.0995,2.89,5847.0,1.402,297.02826,48.208611,Kepler,1
K00822.01,7.91936937,3.3148,10.34,5690.0,0.776,283.53845,40.217999,Kepler,0
K00824.01,15.37562369,3.3169,11.01,4986.0,0.833,283.25354,40.358189,Kepler,1
K00117.04,7.95825328,4.377,1.06,5847.0,1.402,297.02826,48.208611,Kepler,1
K00833.01,3.951405455,2.1862,31.44,6046.0,0.869,295.50439,40.505489,Kepler,0
K00117.03,3.180027898,3.5797,1.53,5847.0,1.402,297.02826,48.208611,Kepler,1
K00852.01,3.76181843,3.5176,2.66,5653.0,0.949,283.31638,41.83712,Kepler,1
K00868.01,235.9986399,8.2284,10.59,4245.0,0.657,293.00797,42.307201,Kepler,1
K00854.01,56.0560754,4.685,1.94,3593.0,0.491,289.50848,41.812119,Kepler,1
K00119.01,49.18394185,11.3364,8.2,5626.0,2.057,294.55917,46.062328,Kepler,1
K00119.02,190.3200468,15.284,7.78,5626.0,2.057,294.55917,46.062328,Kepler,1
K00871.01,12.940668656,2.4845,22.94,5875.0,0.809,291.11969,42.507069,Kepler,1
K00872.01,33.60123371,4.4056,8.46,5149.0,0.93,289.26874,42.604172,Kepler,1
K00872.02,6.76652928,2.9004,1.97,5149.0,0.93,289.26874,42.604172,Kepler,1
K00873.01,4.347288783,2.1024,2.36,5754.0,1.122,291.96417,42.69614,Kepler,1
