transit_id,pl_period,pl_transit_duration,pl_radius,st_eff_temp,st_radius
K00114.01,7.36178958,5.022,39.21,6227.0,1.958
K00757.01,16.06864674,3.5347,5.76,5031.0,0.848
K00010.01,3.522498429,3.19843,14.59,6225.0,1.451
K00113.01,386.6030528,6.8057,41.5,5543.0,1.58
K00757.02,41.19725502,4.6297,3.86,5031.0,0.848
K00757.03,6.252962249,2.5819,2.65,5031.0,0.848
K00759.01,32.62876672,4.7971,3.36,5586.0,0.798
K00759.02,91.7732862,6.473,2.12,5586.0,0.798
K00768.01,33.93373447,14.561,7.34,5040.0,0.705
K00116.01,13.57078281,3.3539,2.64,5854.0,1.012
K00116.02,43.84439721,6.802,2.87,5854.0,1.012
K00789.01,14.1798187,2.505,1.88,5799.0,0.878
K00790.01,8.47237911,2.7245,2.59,5354.0,0.788
K00790.02,60.4189369,5.039,2.36,5354.0,0.788
K00796.01,0.444291966,2.0792,27.51,5255.0,0.636
K00116.04,23.9800854,5.351,1.31,5854.0,1.012
K00116.03,6.164876,3.262,0.79,5854.0,1.012
K00810.01,4.783002698,2.335,2.5,5170.0,0.807
K00117.02,4.90144976,4.1654,1.7,5847.0,1.402
K00830.01,3.525632539,2.59959,11.58,5150.0,0.793
K00817.01,23.96793669,3.827,1.8,3747.0,0.524
K00817.02,8.29561738,1.3421,1.82,3747.0,0.524
K00117.01,14.74914825,6.0995,2.89,5847.0,1.402
K00822.01,7.91936937,3.3148,10.34,5690.0,0.776
K00824.01,15.37562369,3.3169,11.01,4986.0,0.833
K00117.04,7.95825328,4.377,1.06,5847.0,1.402
K00833.01,3.951405455,2.1862,31.44,6046.0,0.869
K00117.03,3.180027898,3.5797,1.53,5847.0,1.402
K00852.01,3.76181843,3.5176,2.66,5653.0,0.949
K00868.01,235.9986399,8.2284,10.59,4245.0,0.657
K00854.01,56.0560754,4.685,1.94,3593.0,0.491
K00119.01,49.18394185,11.3364,8.2,5626.0,2.057
K00119.02,190.3200468,15.284,7.78,5626.0,2.057
K00871.01,12.940668656,2.4845,22.94,5875.0,0.809
K00872.01,33.60123371,4.4056,8.46,5149.0,0.93
K00872.02,6.76652928,2.9004,1.97,5149.0,0.93
K00873.01,4.347288783,2.1024,2.36,5754.0,1.122
K00876.01,6.998099523,2.0488,588.66,5612.0,0.829
K00877.01,5.95489993,2.3892,2.33,4261.0,0.633
K00877.02,12.03987488,2.7363,2.18,4261.0,0.633
K00877.03,20.83762895,2.3734,1.42,4261.0,0.633
K00882.01,1.956811408,2.1958,21.58,5209.0,0.603
K00886.01,8.01078456,2.312,1.72,3713.0,0.47
K00886.02,12.07134205,4.3224,1.29,3713.0,0.47
K00886.03,20.99587872,2.6333,1.3,3713.0,0.47
K00896.01,16.23947096,4.0374,4.14,5191.0,0.837
K00896.02,6.308201629,2.9785,2.96,5191.0,0.837
K00897.01,2.052349884,2.0778,13.12,5855.0,1.08
K00911.01,4.093578461,2.5833,2.85,6077.0,0.999
K00911.02,105.145959,8.593,3.43,6077.0,0.999
K00928.01,2.494170338,1.1221,2.42,5569.0,0.829
K00929.01,6.491682808,4.301,9.66,6123.0,1.107
K00921.01,10.28194593,3.4366,2.53,5196.0,0.775
K00921.02,18.11993039,4.2309,2.95,5196.0,0.775
K00921.03,3.78402867,1.9012,1.7,5196.0,0.775
K00924.01,39.4759093,2.968,4.06,6225.0,1.031
K00926.01,3.166353562,3.3129,3.82,6007.0,0.998
K00967.01,9.88047978,2.78458,23.6,6113.0,0.917
K01106.01,7.42608123,3.6379,2.47,6049.0,1.176
K01106.02,15.9868932,4.158,1.62,6049.0,1.176
K01107.01,0.73094589,4.32,17.12,5901.0,0.848
K01174.01,129995.7784,9.408,2.99,4500.0,0.726
K00972.01,13.118962443,4.3045,8.25,7221.0,4.24
K00972.02,7.82187328,3.8417,2.78,7221.0,4.24
K01049.01,0.525426427,1.0801,1.45,5791.0,0.802
K01177.01,3.305577989,2.5903,25.89,5534.0,0.707
K01182.01,11.11620211,4.211,8.96,6122.0,0.996
K01057.01,1.303859704,2.8239,0.98,6802.0,1.521
K01117.01,11.08956602,6.2877,3.51,6353.0,2.867
K01059.01,1.022678654,1.3712,1.14,5366.0,1.02
K01060.01,12.10968709,6.3461,2.98,6021.0,1.458
K01060.02,4.75796103,4.66,1.7,6021.0,1.458
